FIPS,Year,Materials,Percentage,wasteCATAG
4013,2014,Paper,0.126,           Paper 
4013,2014,Newspaper,0.0095,      Paper 
4013,2014,Plain OCC/Kraft Paper,0.0138, Paper 
4013,2014,Waxed OCC/Kraft Paper,0.0007, Paper
4013,2014,High Grade Paper,0.0031,      Paper
4013,2014,Mixed Low-grade Paper,0.0378, paper 
4013,2014,Milk/Juice Polycoated Paper,0.0014, paper 
4013,2014,Frozen Food Polycoated Paper,0.0012, paper
4013,2014,Compostable/Food Soiled Paper,0.0536, paper
4013,2014,Paper/Other Materials,0.0047, paper 
4013,2014,Plastic,0.098, plastic
4013,2014,#1 PET Bottles,0.0083, bottles
4013,2014,#1 PET Other Packaging,0.0025, bottles
4013,2014,#2 HDPE Natural Bottles,0.0022, bottles
4013,2014,#2 HDPE Colored Bottles,0.0028, bottles
4013,2014,#2 HDPE Other Packaging,0.0003, bottles
4013,2014,Other Rigid Plastic Packaging,0.0083, plastic
4013,2014,Expanded Polystyrene,0.0072, plastic
4013,2014,Compostable Plastics,0.0002, plastic
4013,2014,Plastic Grocery/Merchandise Bags,0.0102, plastic
4013,2014,Other Clean Plastic Consumer Product Bags,0.0038, plastic 
4013,2014,Plastic Garbage Bags,0.0099, plastic 
4013,2014,Other Plastic Film,0.0162, plastic 
4013,2014,Mixed Rigid Plastics,0.0162, plastic 
4013,2014,Plastic/Other Materials,0.0094, plastic 
4013,2014,Glass,0.019, Glass
4013,2014,Glass Beverage Containers,0.0118, Glass
4013,2014,Fluorescent Tubes,0, Glass
4013,2014,Other Glass,0.0068, Glass
4013,2014,Metal,0.027, Metal
4013,2014,Aluminum Cans,0.0026, Cans
4013,2014,Aluminum Foil/Containers,0.0017, Containers
4013,2014,Other Nonferrous,0.0009,
4013,2014,Tin Food Cans,0.006, Cans
4013,2014,Empty Aerosol Cans,0.001, Cans
4013,2014,Other Ferrous,0.0052, Metal
4013,2014,Oil Filters,0.0002, Household Hazardous Materials
4013,2014,Mixed Metals/Material,0.0089, Metal
4013,2014,Organic,0.481, Organics
4013,2014,Leaves & Grass,0.229, Glass
4013,2014,Unaccepted Yard Waste,0.031, Yard waste
4013,2014,"Prunings Less than 2""",0.0568, Organics
4013,2014,"Prunings 2"" to 12""",0.0133, Organics
4013,2014,"Prunings Greater than 12""",0.0043, Organics
4013,2014,Purchased Food,0.1227, Food
4013,2014,Homegrown Food,0.0198,  Food
4013,2014,Beverages and Liquids,0.0044,  Other Materials
4013,2014,Other Materials,0.184, Other Materials
4013,2014,Textiles,0.0416, Textiles
4013,2014,Carpet/Upholstery,0.0255, problem Materials
4013,2014,Leather,0.0021,Leather
4013,2014,Disposable Diapers,0.031, problem Materials
4013,2014,Animal By-products,0.0265, other
4013,2014,Rubber Products,0.006, problem Materials
4013,2014,Tires,0.001, problem Materials
4013,2014,Ash,0.0003, problem Materials
4013,2014,Furniture,0.0008,problem Materials
4013,2014,Mattresses,0.0002,problem Materials
4013,2014,Small Appliances,0.0065, problem Materials
4013,2014,CRTs,0.0025, Other Material
4013,2014,Other Electronics,0.0068, problem Materials
4013,2014,Ceramics/Porcelain,0.0042, Other Materials
4013,2014,Non-distinct Fines,0.0181, Common Contaminants
4013,2014,Miscellaneous Organics,0.0093, Organics
4013,2014,Miscellaneous Inorganics,0.0018, Organics
4013,2014,Hazardous Wastes,0.007, Hazardous Wastes
4013,2014,Latex Paint,0.0012, Household Hazardous Wastes
4013,2014,Hazardous Adhesives/Glues,0.0001, Household Hazardous Wastes
4013,2014,Non-hazardous Adhesives/Glues,0, Household Hazardous Wastes
4013,2014,Oil-based Paint/Solvent,0.0002,  Household Hazardous Wastes
4013,2014,Hazardous Cleaners,0.0001, Household Hazardous Wastes
4013,2014,Pesticides/Herbicides,0.0001, Hazardous Wastes
4013,2014,Non-rechargeable Dry-cell Batteries,0.0006, Problem Materials
4013,2014,Rechargeable Dry-cell Batteries,0.0001, Problem Materials
4013,2014,Wet-cell (car) Batteries,0, Problem Materials
4013,2014,Asbestos,0, Hazardous Wastes
4013,2014,Explosives,0.0001, Problem Materials
4013,2014,Vehicle and Equipment Fluids,0.0001, Hazardous wastes
4013,2014,Pool Chemicals,0,  Hazardous Wastes
4013,2014,Other Hazardous Chemicals,0.0013, Hazardous Wastes
4013,2014,Other Non-hazardous Chemicals,0.0026, Hazardous Wastes
4013,2014,C&D Wastes,0.059, C&D 
4013,2014,Dimension Lumber,0.0057, C&D 
4013,2014,Pallets/Crates,0.0009, wood Pallets
4013,2014,Treated Wood,0.0081, Clean wood 
4013,2014,Contaminated Wood,0.0123, wood Pallets
4013,2014,New Gypsum Scrap,0.0025,C&D
4013,2014,Demo Gypsum Scrap,0.0027,C&D
4013,2014,Insulation,0.0002, C&D
4013,2014,Rock/Concrete/Bricks,0.0125, C&D
4013,2014,Asphaltic Roofing,0.0038,C&D
4013,2014,Other Construction Debris,0.0108, C&D
6000,2021,Paper,0.155, Paper
6000,2021,Corrugated Cardboard,0.041, Paper
6000,2021,Paper Grocery Bags,0.001, Paper
6000,2021,Other Paper Bags/Kraft Paper,0.004, Paper
6000,2021,Newspapers/Newspaper Inserts,0.003, Paper
6000,2021,White Office-type Paper and Mail,0.006, Paper
6000,2021,Magazines and Catalogs,0.004, Paper
6000,2021,Folding Cartons and Other Paperboard Packaging,0.012, Paper
6000,2021,Aseptic Containers,0.001, Paper
6000,2021,Gable-top Cartons,0.001, Paper
6000,2021,Paper/Fiber Food Service Ware,0.021, Paper
6000,2021,Other Recyclable Paper,0.013, Paper
6000,2021,Other Paper/Fiber - Packaging,0.008, Paper
6000,2021,Other Compostable Paper,0.035, Paper
6000,2021,Remainder/Composite Paper,0.006, Paper
6000,2021,Plastic (category which includes the following material types),0.137, Plastic
6000,2021,PETE Beverage Containers - CRV,0.006, Plastic
6000,2021,PETE Bottles and Jars - Non-CRV,0.002, Plastic
6000,2021,HDPE Beverage Containers - CRV,0.001, Plastic
6000,2021,HDPE Bottles and Jars - Non-CRV,0.004, Plastic
6000,2021,Expanded Polystyrene Packaging,0.002, Plastic
6000,2021,Plastic Trash Bags,0.015, Plastic
6000,2021,Plastic Grocery and Other Merchandise Bags,0.006, Plastic
6000,2021,Film Products- Non-Packaging,0.005, Plastic
6000,2021,Flexible Plastic Pouches,0,Plastic
6000,2021,Non-Bag Commercial and Industrial Packaging Film,0.014, Plastic
6000,2021,Other Film Bags and Plastic Mailing Pouches,0.004, Plastic
6000,2021,Rigid Plastic Food Service Ware,0.013, Plastic
6000,2021,Other Plastic Packaging,0.031, Plastic
6000,2021,Durable Plastic Items,0.023, Plastic
